,Serve Standing Player,Serve Standing Player2,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2nd Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match,My score,My Rank,Label,Score,Score bucket,Feature,Contribution,Rank Bucket
94,13,Daniil Medvedev,"283,1","0,64","0,765","0,51","0,864","9,2",4,283.09999999999997,14,Daniil Medvedev,283.1,283.1,% 2nd Serve Points Won,0.2104166666666665,"10-
20%"
95,13,Daniil Medvedev,"283,1","0,64","0,765","0,51","0,864","9,2",4,283.09999999999997,14,Daniil Medvedev,283.1,283.1,% Service Games Won,12.720833333333337,"10-
20%"
96,13,Daniil Medvedev,"283,1","0,64","0,765","0,51","0,864","9,2",4,283.09999999999997,14,Daniil Medvedev,283.1,283.1,Avg. Aces/ Match,4.579166666666666,"10-
20%"
97,13,Daniil Medvedev,"283,1","0,64","0,765","0,51","0,864","9,2",4,283.09999999999997,14,Daniil Medvedev,283.1,283.1,Avg. Double Faults/Match,-1.7374999999999992,"10-
20%"
98,15,Brandon Nakashima,283,"0,645","0,749","0,534","0,844","7,4","1,6",283.0,15,Brandon Nakashima,283.0,283.0,Serve Rating,0.0,"10-
20%"
99,15,Brandon Nakashima,283,"0,645","0,749","0,534","0,844","7,4","1,6",283.0,15,Brandon Nakashima,283.0,283.0,% 1st Serve,-0.558333333333333,"10-
20%"
100,15,Brandon Nakashima,283,"0,645","0,749","0,534","0,844","7,4","1,6",283.0,15,Brandon Nakashima,283.0,283.0,% 1st Serve Points Won,6.304166666666668,"10-
20%"
101,15,Brandon Nakashima,283,"0,645","0,749","0,534","0,844","7,4","1,6",283.0,15,Brandon Nakashima,283.0,283.0,% 2nd Serve Points Won,4.216666666666665,"10-
20%"
102,15,Brandon Nakashima,283,"0,645","0,749","0,534","0,844","7,4","1,6",283.0,15,Brandon Nakashima,283.0,283.0,% Service Games Won,9.04583333333333,"10-
20%"
103,15,Brandon Nakashima,283,"0,645","0,749","0,534","0,844","7,4","1,6",283.0,15,Brandon Nakashima,283.0,283.0,Avg. Aces/ Match,1.7604166666666656,"10-
20%"
104,15,Brandon Nakashima,283,"0,645","0,749","0,534","0,844","7,4","1,6",283.0,15,Brandon Nakashima,283.0,283.0,Avg. Double Faults/Match,2.2312499999999997,"10-
20%"
105,16,Marin Cilic,"282,5","0,588","0,784","0,515","0,857","11,5","3,4",282.5,16,Marin Cilic,282.5,282.5,Serve Rating,0.0,"10-
20%"
106,16,Marin Cilic,"282,5","0,588","0,784","0,515","0,857","11,5","3,4",282.5,16,Marin Cilic,282.5,282.5,% 1st Serve,-8.566666666666668,"10-
20%"
107,16,Marin Cilic,"282,5","0,588","0,784","0,515","0,857","11,5","3,4",282.5,16,Marin Cilic,282.5,282.5,% 1st Serve Points Won,11.454166666666666,"10-
20%"
108,16,Marin Cilic,"282,5","0,588","0,784","0,515","0,857","11,5","3,4",282.5,16,Marin Cilic,282.5,282.5,% 2nd Serve Points Won,1.166666666666666,"10-
20%"
