,Serve Standing Player,Serve Standing Player2,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2nd Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match,My score,My Rank,Unnamed: 0,Label,Score,Score bucket,Feature,Contribution,Rank Bucket
107,16,Marin Cilic,"282,5","0,588","0,784","0,515","0,857","11,5","3,4",282.5,16,107,Marin Cilic,282.5,282.5,% 1st Serve Points Won,6.062499999999997,"10-
20%"
108,16,Marin Cilic,"282,5","0,588","0,784","0,515","0,857","11,5","3,4",282.5,16,108,Marin Cilic,282.5,282.5,% 2nd Serve Points Won,0.524999999999998,"10-
20%"
109,16,Marin Cilic,"282,5","0,588","0,784","0,515","0,857","11,5","3,4",282.5,16,109,Marin Cilic,282.5,282.5,% Service Games Won,4.9124999999999925,"10-
20%"
110,16,Marin Cilic,"282,5","0,588","0,784","0,515","0,857","11,5","3,4",282.5,16,110,Marin Cilic,282.5,282.5,Avg. Aces/ Match,3.4625000000000057,"10-
20%"
111,16,Marin Cilic,"282,5","0,588","0,784","0,515","0,857","11,5","3,4",282.5,16,111,Marin Cilic,282.5,282.5,Avg. Double Faults/Match,-0.299999999999978,"10-
20%"
112,17,Arthur Rinderknech,"281,2","0,657","0,749","0,487","0,841","9,6","1,8",281.2,17,112,Arthur Rinderknech,281.2,281.2,Serve Rating,0.0,"10-
20%"
113,17,Arthur Rinderknech,"281,2","0,657","0,749","0,487","0,841","9,6","1,8",281.2,17,113,Arthur Rinderknech,281.2,281.2,% 1st Serve,0.5999999999999963,"10-
20%"
114,17,Arthur Rinderknech,"281,2","0,657","0,749","0,487","0,841","9,6","1,8",281.2,17,114,Arthur Rinderknech,281.2,281.2,% 1st Serve Points Won,2.562499999999992,"10-
20%"
115,17,Arthur Rinderknech,"281,2","0,657","0,749","0,487","0,841","9,6","1,8",281.2,17,115,Arthur Rinderknech,281.2,281.2,% 2nd Serve Points Won,-2.275,"10-
20%"
116,17,Arthur Rinderknech,"281,2","0,657","0,749","0,487","0,841","9,6","1,8",281.2,17,116,Arthur Rinderknech,281.2,281.2,% Service Games Won,3.312499999999983,"10-
20%"
117,17,Arthur Rinderknech,"281,2","0,657","0,749","0,487","0,841","9,6","1,8",281.2,17,117,Arthur Rinderknech,281.2,281.2,Avg. Aces/ Match,1.5625000000000278,"10-
20%"
118,17,Arthur Rinderknech,"281,2","0,657","0,749","0,487","0,841","9,6","1,8",281.2,17,118,Arthur Rinderknech,281.2,281.2,Avg. Double Faults/Match,1.2999999999999898,"10-
20%"
119,18,Thiago Monteiro,281,"0,662","0,727","0,545","0,825","6,5","1,4",281.00000000000006,18,119,Thiago Monteiro,281.00000000000006,281.0,Serve Rating,0.0,"10-
20%"
120,18,Thiago Monteiro,281,"0,662","0,727","0,545","0,825","6,5","1,4",281.00000000000006,18,120,Thiago Monteiro,281.00000000000006,281.0,% 1st Serve,1.100000000000009,"10-
20%"
121,18,Thiago Monteiro,281,"0,662","0,727","0,545","0,825","6,5","1,4",281.00000000000006,18,121,Thiago Monteiro,281.00000000000006,281.0,% 1st Serve Points Won,0.362500000000011,"10-
20%"
122,18,Thiago Monteiro,281,"0,662","0,727","0,545","0,825","6,5","1,4",281.00000000000006,18,122,Thiago Monteiro,281.00000000000006,281.0,% 2nd Serve Points Won,3.5250000000000057,"10-
20%"
123,18,Thiago Monteiro,281,"0,662","0,727","0,545","0,825","6,5","1,4",281.00000000000006,18,123,Thiago Monteiro,281.00000000000006,281.0,% Service Games Won,1.7125000000000044,"10-
20%"
124,18,Thiago Monteiro,281,"0,662","0,727","0,545","0,825","6,5","1,4",281.00000000000006,18,124,Thiago Monteiro,281.00000000000006,281.0,Avg. Aces/ Match,-1.537499999999994,"10-
20%"
