,Count,Institution,Score,Faculty,Count AI,Faculty AI,Count Systems,Faculty Systems,Count Theory,Faculty Theory,Count Interdisciplinary,Faculty Interdisciplinary
100,96,University of South Carolina,1.5,13,2.8,6.0,1.2,5.0,1.1,1.0,1.6,5.0
101,96,Wayne State University,1.5,15,2.8,10.0,1.4,5.0,0.0,0.0,1.3,3.0
102,103,Augusta University,1.4,14,1.3,3.0,1.3,6.0,1.6,3.0,1.5,5.0
103,103,Brandeis University,1.4,10,4.3,7.0,1.1,2.0,0.0,0.0,1.1,1.0
104,103,Case Western Reserve University,1.4,10,2.1,5.0,1.3,7.0,0.0,0.0,1.3,4.0
105,103,Drexel University,1.4,15,2.4,6.0,1.1,5.0,1.8,4.0,1.3,5.0
106,103,Florida International University,1.4,20,2.0,7.0,1.2,8.0,1.4,2.0,1.4,8.0
107,103,Portland State University,1.4,10,1.7,4.0,1.3,5.0,1.7,1.0,1.3,2.0
108,103,Rensselaer Polytechnic Institute,1.4,12,2.9,8.0,1.1,3.0,1.1,1.0,1.5,5.0
109,103,Univ. of Maryland - Baltimore County,1.4,18,3.2,11.0,1.1,5.0,0.0,0.0,1.4,6.0
110,103,University of Iowa,1.4,14,1.6,4.0,1.4,7.0,1.7,2.0,1.3,4.0
111,103,University of Louisiana - Lafayette,1.4,12,1.8,6.0,1.2,7.0,0.0,0.0,1.5,6.0
112,103,University of New Hampshire,1.4,8,2.9,5.0,1.2,2.0,0.0,0.0,1.3,5.0
113,103,University of North Texas,1.4,17,2.7,9.0,1.3,8.0,0.0,0.0,1.3,5.0
114,115,Auburn University,1.3,11,2.3,5.0,1.1,5.0,0.0,0.0,1.1,4.0
115,115,Boston College,1.3,9,2.2,4.0,1.0,2.0,2.0,4.0,1.3,2.0
116,115,Colorado State University,1.3,8,1.4,4.0,1.3,3.0,0.0,0.0,1.3,4.0
117,115,DePaul University,1.3,15,1.5,5.0,1.1,3.0,1.4,3.0,1.5,7.0
118,115,Kent State University,1.3,9,1.3,1.0,1.3,6.0,1.1,1.0,1.4,5.0
119,115,Michigan Technological University,1.3,11,1.3,5.0,1.2,4.0,1.7,1.0,1.4,5.0
120,115,University of Arkansas,1.3,6,1.9,2.0,1.2,3.0,1.4,1.0,1.0,1.0
121,115,University of Kansas,1.3,12,1.4,4.0,1.5,7.0,0.0,0.0,1.2,3.0
122,115,University of Kentucky,1.3,8,2.5,6.0,1.1,2.0,0.0,0.0,1.1,2.0
123,115,University of Memphis,1.3,8,1.8,5.0,1.1,3.0,0.0,0.0,1.6,5.0
124,115,University of Nevada,1.3,13,1.3,3.0,1.2,3.0,0.0,0.0,1.8,10.0
125,115,University of South Florida,1.3,10,1.3,3.0,1.3,5.0,1.1,1.0,1.4,3.0
126,115,University of Texas at San Antonio,1.3,10,1.2,4.0,1.5,8.0,0.0,0.0,1.3,4.0
127,115,Virginia Commonwealth University,1.3,10,1.4,4.0,1.2,3.0,1.6,2.0,1.4,4.0
128,129,Boise State University,1.2,7,1.4,3.0,1.1,3.0,0.0,0.0,1.2,2.0
129,129,Cleveland State University,1.2,7,1.4,3.0,1.1,3.0,0.0,0.0,1.1,2.0
130,129,Georgia State University,1.2,9,1.5,3.0,1.1,4.0,0.0,0.0,1.2,4.0
131,129,IUPUI,1.2,12,1.4,4.0,1.1,1.0,0.0,0.0,1.5,7.0
132,129,Kansas State University,1.2,6,1.4,3.0,1.2,4.0,1.3,1.0,1.2,1.0
133,129,Louisiana State University,1.2,8,1.2,3.0,1.2,5.0,1.1,1.0,1.1,2.0
134,129,New Mexico State University,1.2,11,1.6,5.0,1.1,5.0,0.0,0.0,1.1,2.0
135,129,Northern Arizona University,1.2,7,1.1,2.0,1.3,5.0,0.0,0.0,1.1,3.0
136,129,Old Dominion University,1.2,8,1.3,4.0,1.1,5.0,0.0,0.0,1.2,3.0
137,129,Texas State University,1.2,12,1.1,2.0,1.4,6.0,1.1,1.0,1.1,6.0
138,129,Texas Tech University,1.2,9,1.3,3.0,1.2,4.0,1.4,1.0,1.1,2.0
139,129,UCCS,1.2,7,1.8,5.0,1.1,4.0,0.0,0.0,1.2,3.0
140,129,University of Alabama - Birmingham,1.2,6,1.2,2.0,1.3,5.0,0.0,0.0,0.0,0.0
141,129,University of Hawaii at Manoa,1.2,10,1.1,1.0,1.1,4.0,1.4,3.0,1.1,4.0
142,129,University of Massachusetts Boston,1.2,7,1.2,3.0,1.2,3.0,0.0,0.0,1.2,4.0
143,129,University of Nebraska - Omaha,1.2,7,1.5,3.0,1.1,2.0,0.0,0.0,1.3,3.0
144,129,University of New Mexico,1.2,8,1.0,1.0,1.1,4.0,1.4,2.0,1.5,3.0
145,129,University of Vermont,1.2,7,1.2,3.0,1.2,5.0,0.0,0.0,1.2,2.0
146,129,West Virginia University,1.2,7,2.5,6.0,1.0,1.0,0.0,0.0,0.0,0.0
147,148,Florida Atlantic University,1.1,3,1.1,1.0,1.1,2.0,1.6,1.0,1.0,1.0
148,148,Mississippi State University,1.1,5,1.3,2.0,1.1,2.0,0.0,0.0,1.0,1.0
149,148,Naval Postgraduate School,1.1,8,0.0,0.0,1.2,6.0,1.1,1.0,1.2,4.0
150,148,OHSU,1.1,3,1.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0
151,148,Ohio University,1.1,4,1.1,1.0,1.1,2.0,0.0,0.0,1.1,2.0
152,148,Oklahoma State University,1.1,4,1.2,1.0,1.1,2.0,0.0,0.0,1.0,1.0
153,148,Saint Louis University,1.1,7,1.1,1.0,1.1,3.0,1.2,2.0,1.2,4.0
154,148,The University of Alabama,1.1,6,1.2,1.0,1.1,3.0,0.0,0.0,1.3,5.0
155,148,Towson University,1.1,4,1.2,1.0,0.0,0.0,1.3,1.0,1.1,2.0
156,148,UNC - Greensboro,1.1,5,1.2,1.0,1.0,1.0,0.0,0.0,1.2,3.0
157,148,University at Albany - SUNY,1.1,4,1.2,2.0,1.0,1.0,0.0,0.0,1.2,1.0
158,148,University of Cincinnati,1.1,4,1.0,1.0,1.2,2.0,1.1,1.0,1.0,2.0
159,148,University of Colorado - Denver,1.1,2,1.0,1.0,1.1,1.0,0.0,0.0,1.2,2.0
160,148,University of Denver,1.1,3,1.0,1.0,0.0,0.0,0.0,0.0,1.3,3.0
161,148,University of Michigan-Dearborn,1.1,8,1.2,3.0,1.3,5.0,0.0,0.0,1.0,1.0
162,148,University of Missouri,1.1,5,1.5,4.0,1.0,1.0,1.3,1.0,1.1,2.0
163,148,University of Nevada Las Vegas,1.1,5,0.0,0.0,1.2,5.0,0.0,0.0,1.0,1.0
164,148,University of New Orleans,1.1,3,1.0,1.0,1.1,1.0,0.0,0.0,1.0,1.0
165,148,University of Oklahoma,1.1,7,1.3,3.0,1.0,1.0,1.1,1.0,1.1,2.0
166,148,University of Southern Mississippi,1.1,2,1.2,1.0,0.0,0.0,0.0,0.0,1.2,2.0
167,148,University of Texas - El Paso,1.1,5,1.4,4.0,1.0,2.0,1.1,1.0,1.0,1.0
168,148,University of Wisconsin - Milwaukee,1.1,3,0.0,0.0,1.0,1.0,1.6,2.0,0.0,0.0
169,148,University of Wyoming,1.1,2,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.0
170,148,Utah State University,1.1,5,1.1,1.0,1.1,3.0,0.0,0.0,1.2,4.0
171,148,Western Michigan University,1.1,3,1.0,1.0,1.1,2.0,0.0,0.0,1.0,1.0
172,148,Wichita State University,1.1,3,1.3,1.0,1.1,1.0,0.0,0.0,1.2,1.0
173,174,Air Force Institute of Technology,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.0
174,174,Florida Institute of Technology,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
175,174,Indiana State University,1.0,2,0.0,0.0,0.0,0.0,1.3,2.0,0.0,0.0
176,174,Missouri S&T,1.0,2,1.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
177,174,Missouri University of Technology,1.0,2,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
178,174,Montana State University,1.0,3,1.0,1.0,1.0,1.0,1.1,2.0,1.1,3.0
179,174,New Mexico Tech,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
180,174,Nova Southeastern University,1.0,1,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
181,174,Oakland University,1.0,1,0.0,0.0,1.1,1.0,0.0,0.0,0.0,0.0
182,174,SIU Carbondale,1.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
183,174,Southern Methodist University,1.0,3,0.0,0.0,1.1,2.0,0.0,0.0,1.1,2.0
184,174,University of Alabama - Huntsville,1.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
185,174,University of Louisville,1.0,2,0.0,0.0,1.0,1.0,0.0,0.0,1.1,1.0
186,174,University of Miami,1.0,2,0.0,0.0,1.1,1.0,0.0,0.0,1.1,1.0
187,174,University of Missouri - Kansas City,1.0,2,1.1,2.0,1.0,1.0,0.0,0.0,0.0,0.0
188,174,University of Tulsa,1.0,2,1.1,2.0,1.0,1.0,0.0,0.0,1.0,1.0
